[URL] http://www.228.com.cn/ticket-245439174.html?t=112255&t=112255&t=112255 | [CODE] 200 | [TOTAL_TIME] 0.14 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.187 | GET
[URL] http://www.228.com.cn/ticket-245439174.html?t=112255&t=112255&t=112255 | [CODE] 200 | [TOTAL_TIME] 0.109 | GET
[URL] http://www.228.com.cn/ticket-245439174.html?t=112255&t=112255&t=112255 | [CODE] 200 | [TOTAL_TIME] 0.109 | GET
[URL] http://www.228.com.cn/ticket-245439174.html?t=112255&t=112255&t=112255 | [CODE] 200 | [TOTAL_TIME] 0.109 | GET
[URL] http://www.228.com.cn/ticket-245439174.html?t=112255&t=112255&t=112255 | [CODE] 200 | [TOTAL_TIME] 0.094 | GET
[URL] http://www.228.com.cn/ticket-245439174.html?t=112255&t=112255&t=112255 | [CODE] 200 | [TOTAL_TIME] 0.172 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.187 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.203 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.219 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.218 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.218 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.218 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.234 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.234 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.234 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.25 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.234 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.234 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.265 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.14 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.265 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.187 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.141 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.14 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.14 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.141 | GET
[URL] http://www.228.com.cn/ajax/isLogin | [CODE] 200 | [TOTAL_TIME] 0.14 | GET
